corn gromwell	Buglossoides arvensis (L.) I.M. Johnston	1000	Forbs/Herbs
hare's ear	Bupleurum rotundifolium L.	98	Forbs/Herbs
flowering-rush	Butomus umbellatus L.	250	Aquatic Plants
Carolina fanwort	Cabomba caroliniana A. Gray	233	Aquatic Plants
shoofly	Caesalpinia decapetala (Roth) Alston	4	Vines
paradise poinciana	Caesalpinia gilliesii (Wall. ex Hook.) Wall. ex D. Dietr.	77	Shrub or Subshrub
pigeon pea	Cajanus cajan (L.) Millsp.	11	Shrub or Subshrub
European sea-rocket	Cakile maritima Scop.	51	Forbs/Herbs
purple beautyberry	Callicarpa dichotoma (Lour.) K. Koch	12	Shrub or Subshrub
basketplant	Callisia fragrans (Lindl.) Woods	13	Forbs/Herbs
bottlebrush	Callistemon viminalis (Gaertn.)G.Don ex Loudon	17	Hardwood Trees
European waterstarwort	Callitriche stagnalis Scop.	107	Aquatic Plants
heather	Calluna vulgaris (L.) Hull	44	Forbs/Herbs
incense-cedar	Calocedrus decurrens (Torr.) Florin	64	Conifer Trees
Antilles calophyllum	Calophyllum antillanum Britt	7	Hardwood Trees
Alexandrian laurel	Calophyllum inophyllum L.	5	Hardwood Trees
smallseed falseflax	Camelina microcarpa DC.	951	Forbs/Herbs
creeping bellflower	Campanula rapunculoides L.	544	Forbs/Herbs
maunaloa	Canavalia cathartica Thouars	4	Vines
Indian shot	Canna indica L.	31	Forbs/Herbs
marijuana	Cannabis sativa L	706	Forbs/Herbs
shepherd's-purse	Capsella bursa-pastoris (L.) Medik.	2165	Forbs/Herbs
Siberian peashrub	Caragana arborescens Lam.	182	Shrub or Subshrub
woodland bittercress	Cardamine flexuosa With.	73	Forbs/Herbs
narrowleaf bittercress	Cardamine impatiens L.	196	Forbs/Herbs
balloonvine	Cardiospermum halicacabum L.	258	Vines
spiny plumeless thistle	Carduus acanthoides L.	387	Forbs/Herbs
curly plumeless thistle	Carduus crispus L.	31	Forbs/Herbs
musk thistle	Carduus nutans L.	1226	Forbs/Herbs
Italian plumeless thistle	Carduus pycnocephalus L.	71	Forbs/Herbs
plumeless thistle	Carduus spp. L.	771	Forbs/Herbs
